Date,Asset,Average Dividend Yield,Price Earnings Ratio (P/E),Return on Assets,Total Debt to Total Assets,1-Year Volatility,Year,Ticker
2017-12-29,MCHP UW Equity,1.7996,28.6193,3.2037,37.1591,21.585,2017,MCHP
2018-12-31,MCHP UW Equity,1.714,41.5499,2.6752,56.1689,36.062,2018,MCHP
2019-12-31,MCHP UW Equity,1.6328,42.9384,3.1898,55.2126,34.295,2019,MCHP
2020-12-31,MCHP UW Equity,1.4689,56.6294,3.1898,55.2126,61.923,2020,MCHP
2015-12-31,MDLZ UW Equity,1.4315,26.6602,11.2133,24.5023,21.593,2015,MDLZ
2016-12-30,MDLZ UW Equity,1.4975,21.6647,2.6676,27.9486,27.057,2016,MDLZ
2017-12-29,MDLZ UW Equity,1.66,20.3667,4.5432,28.0382,16.721,2017,MDLZ
2018-12-31,MDLZ UW Equity,1.9472,16.514,5.3801,29.2879,19.002,2018,MDLZ
2019-12-31,MDLZ UW Equity,1.8737,22.3944,6.1755,29.4614,15.887,2019,MDLZ
2020-12-31,MDLZ UW Equity,2.0049,16.8299,5.3731,30.6444,34.05,2020,MDLZ
2015-12-31,MELI UW Equity,0.5447,41.3188,10.7375,29.5242,31.666,2015,MELI
2016-12-30,MELI UW Equity,0.3044,47.4574,11.5026,22.9278,35.903,2016,MELI
2017-12-29,MELI UW Equity,0.2488,197.1488,0.9064,22.0187,40.388,2017,MELI
2018-12-31,MELI UW Equity,0.1793,183.0077,-1.8701,32.8275,50.035,2018,MELI
2019-12-31,MELI UW Equity,0.0,183.0077,-4.8994,21.2775,47.916,2019,MELI
2020-12-31,MELI UW Equity,0.0,183.0077,-0.0125,26.1727,58.8,2020,MELI
2015-12-31,MNST UW Equity,0.0,49.6771,14.5598,0.0,32.663,2015,MNST
2016-12-30,MNST UW Equity,0.0,34.7423,14.6571,0.0,27.214,2016,MNST
2017-12-29,MNST UW Equity,0.0,47.2786,18.3505,0.0,20.861,2017,MNST
2018-12-31,MNST UW Equity,0.0,27.4031,21.3139,0.0,31.098,2018,MNST
2019-12-31,MNST UW Equity,0.0,31.0611,22.8957,0.5815,26.84,2019,MNST
2020-12-31,MNST UW Equity,0.0,39.4553,24.8319,0.344,35.883,2020,MNST
2015-12-31,MRVL UW Equity,2.0237,55.1643,-14.3274,0.0,39.744,2015,MRVL
2016-12-30,MRVL UW Equity,2.2112,26.0889,0.4192,0.0,36.42,2016,MRVL
2017-12-29,MRVL UW Equity,1.421,20.1669,11.1325,0.0,27.846,2017,MRVL
2018-12-31,MRVL UW Equity,1.2019,22.9922,-2.4325,17.298,35.88,2018,MRVL
2019-12-31,MRVL UW Equity,1.0546,37.5062,14.9824,14.2229,34.879,2019,MRVL
2020-12-31,MRVL UW Equity,0.7637,37.5062,-2.5326,12.3521,54.27,2020,MRVL
2015-12-31,MSFT UW Equity,2.6772,21.4094,10.8854,28.4469,28.233,2015,MSFT
2016-12-30,MSFT UW Equity,2.619,20.3004,11.2482,38.1632,22.88,2016,MSFT
2017-12-29,MSFT UW Equity,2.1874,23.3357,6.5092,33.8067,14.812,2017,MSFT
2018-12-31,MSFT UW Equity,1.6738,21.6885,14.3893,30.1704,28.276,2018,MSFT
2019-12-31,MSFT UW Equity,1.4313,27.096,15.065,27.2509,21.863,2019,MSFT
2020-12-31,MSFT UW Equity,1.0733,38.2162,15.065,27.2509,44.186,2020,MSFT
2015-12-31,MU UW Equity,0.0,5.7101,12.453,30.4063,49.792,2015,MU
2016-12-30,MU UW Equity,0.0,8.9805,-1.068,35.984,51.22,2016,MU
2017-12-29,MU UW Equity,0.0,8.812,16.1874,31.5089,37.577,2017,MU
2018-12-31,MU UW Equity,0.0,2.7474,35.9157,10.6879,50.015,2018,MU
2019-12-31,MU UW Equity,0.0,9.1406,13.6848,11.9684,44.82,2019,MU
2020-12-31,MU UW Equity,0.0,29.5311,5.2396,13.4692,58.382,2020,MU
2015-12-31,MXIM UW Equity,3.2215,32.6265,5.3836,29.2779,28.758,2015,MXIM
2016-12-30,MXIM UW Equity,3.2396,17.9968,12.9841,32.5515,24.102,2016,MXIM
2017-12-29,MXIM UW Equity,2.831,19.6747,10.3598,33.4838,19.863,2017,MXIM
2018-12-31,MXIM UW Equity,2.7296,15.6641,20.1936,26.5115,32.648,2018,MXIM
2019-12-31,MXIM UW Equity,3.2509,27.2955,17.7585,29.0078,28.326,2019,MXIM
2020-12-31,MXIM UW Equity,3.0336,39.339,17.7585,29.0078,43.84,2020,MXIM
2015-12-31,NFLX UW Equity,0.0,408.5,1.4223,23.2421,49.404,2015,NFLX
2016-12-30,NFLX UW Equity,0.0,287.907,1.5694,24.762,44.746,2016,NFLX
2017-12-29,NFLX UW Equity,0.0,150.1799,3.4291,34.1846,27.807,2017,NFLX
2018-12-31,NFLX UW Equity,0.0,99.8731,5.3848,39.8856,46.618,2018,NFLX
2019-12-31,NFLX UW Equity,0.0,78.3462,6.2282,48.1888,36.817,2019,NFLX
2020-12-31,NFLX UW Equity,0.0,68.0799,7.539,47.1249,46.454,2020,NFLX
2015-12-31,NTES UW Equity,1.8886,22.8155,18.8363,5.5221,39.274,2015,NTES
2016-12-30,NTES UW Equity,0.9485,16.817,23.3987,6.5752,41.852,2016,NTES
2017-12-29,NTES UW Equity,1.167,25.4381,16.5933,9.3248,38.963,2017,NTES
2018-12-31,NTES UW Equity,1.3116,25.2732,7.7879,15.7053,38.882,2018,NTES
2019-12-31,NTES UW Equity,0.6746,20.805,21.3343,15.429,37.635,2019,NTES
2020-12-31,NTES UW Equity,2.6605,34.7535,9.4983,13.7478,44.745,2020,NTES
2015-12-31,NVDA UW Equity,1.4715,24.2578,8.4277,20.5427,34.068,2015,NVDA
2016-12-30,NVDA UW Equity,0.8567,41.035,19.3597,28.6556,44.588,2016,NVDA
2017-12-29,NVDA UW Equity,0.3468,41.9371,28.9062,17.792,41.583,2017,NVDA
2018-12-31,NVDA UW Equity,0.2537,22.0989,33.7586,14.9564,50.451,2018,NVDA
2019-12-31,NVDA UW Equity,0.3563,51.3134,18.2703,15.2642,41.563,2019,NVDA
2020-12-31,NVDA UW Equity,0.1782,64.5502,18.7915,26.807,58.418,2020,NVDA
2015-12-31,NXPI UW Equity,0.0,28.9571,9.1798,34.9548,45.61,2015,NXPI
2016-12-30,NXPI UW Equity,0.0,97.7275,0.7805,36.8985,37.416,2016,NXPI
2017-12-29,NXPI UW Equity,0.0,116.6428,9.0506,27.2984,6.757,2017,NXPI
2018-12-31,NXPI UW Equity,0.0027,31.7107,9.6887,34.157,39.171,2018,NXPI
2019-12-31,NXPI UW Equity,0.5045,129.1466,1.1698,38.1095,35.401,2019,NXPI
2020-12-31,NXPI UW Equity,1.0632,40.0126,0.2609,38.3383,61.196,2020,NXPI
2015-12-31,ORLY UW Equity,0.0,27.2739,14.1,20.819,22.46,2015,ORLY
2016-12-30,ORLY UW Equity,0.0,25.9469,14.9514,26.1934,22.466,2016,ORLY
2017-12-29,ORLY UW Equity,0.0,19.9158,15.3465,39.3349,32.623,2017,ORLY
2018-12-31,ORLY UW Equity,0.0,21.387,17.0323,42.8168,28.529,2018,ORLY
2019-12-31,ORLY UW Equity,0.0,24.5112,14.8791,54.6963,21.922,2019,ORLY
2020-12-31,ORLY UW Equity,0.0,19.2337,15.706,53.1592,42.599,2020,ORLY
2015-12-31,PAYX UW Equity,3.1047,25.3084,11.7258,0.0,17.587,2015,PAYX
2016-12-30,PAYX UW Equity,3.0497,27.0599,12.3138,0.0,18.552,2016,PAYX
2017-12-29,PAYX UW Equity,3.0502,26.4125,13.0611,0.0,15.081,2017,PAYX
2018-12-31,PAYX UW Equity,3.0608,22.7424,12.8181,9.3292,20.156,2018,PAYX
2019-12-31,PAYX UW Equity,2.8368,27.7545,12.7488,10.9465,17.439,2019,PAYX
2020-12-31,PAYX UW Equity,3.2202,30.404,12.7488,10.9465,48.947,2020,PAYX
2015-12-31,PCAR UW Equity,3.5542,9.5357,7.6878,40.6991,24.972,2015,PCAR
2016-12-30,PCAR UW Equity,4.6098,15.2211,2.4992,41.0642,26.209,2016,PCAR
2017-12-29,PCAR UW Equity,2.5208,13.9363,7.6009,37.8811,20.023,2017,PCAR
2018-12-31,PCAR UW Equity,3.6175,8.8304,8.9738,39.0485,25.82,2018,PCAR
2019-12-31,PCAR UW Equity,4.5927,11.4245,8.8698,39.7079,22.961,2019,PCAR
2020-12-31,PCAR UW Equity,4.6745,23.1032,4.5863,38.5513,36.016,2020,PCAR
2018-12-31,PEP UW Equity,2.8712,20.003,15.8969,41.625,18.645,2018,PEP
2019-12-31,PEP UW Equity,2.8197,24.7248,9.3652,42.8126,14.555,2019,PEP
2020-12-31,PEP UW Equity,2.7912,26.8268,8.3049,49.337,36.943,2020,PEP
2016-12-30,PYPL UW Equity,0.0,34.3217,4.5205,0.0,28.44,2016,PYPL
2017-12-29,PYPL UW Equity,0.0,43.2875,4.8594,2.4525,22.231,2017,PYPL
2018-12-31,PYPL UW Equity,0.0,49.1267,4.8914,4.6109,33.969,2018,PYPL
2019-12-31,PYPL UW Equity,0.0,50.6012,5.1952,10.6598,27.194,2019,PYPL
2020-12-31,PYPL UW Equity,0.0,108.4814,6.9048,13.818,52.377,2020,PYPL
2015-12-31,QCOM UW Equity,2.4965,13.01,10.6088,21.5942,32.261,2015,QCOM
2016-12-30,QCOM UW Equity,3.1918,17.4845,11.061,22.4546,28.403,2016,QCOM
2017-12-29,QCOM UW Equity,3.5783,22.297,4.1852,33.4316,27.57,2017,QCOM
2018-12-31,QCOM UW Equity,3.6139,20.5296,-10.1129,50.0826,30.036,2018,QCOM
2019-12-31,QCOM UW Equity,3.4289,26.3693,13.3632,48.3448,38.885,2019,QCOM
2020-12-31,QCOM UW Equity,2.5765,45.387,15.1654,45.6004,52.718,2020,QCOM
2015-12-31,REGN UW Equity,0.0,96.4863,13.4661,6.4701,33.791,2015,REGN
2016-12-30,REGN UW Equity,0.0,47.674,14.2339,6.8666,39.854,2016,REGN
2017-12-29,REGN UW Equity,0.0,28.2076,15.2309,8.0269,29.497,2017,REGN
2018-12-31,REGN UW Equity,0.0,17.6109,23.8492,6.0378,32.335,2018,REGN
2019-12-31,REGN UW Equity,0.0,17.5487,15.9444,4.9814,30.178,2019,REGN
2020-12-31,REGN UW Equity,0.0,16.858,21.9791,15.7062,43.159,2020,REGN
2015-12-31,ROST UW Equity,0.7944,21.4382,21.3606,8.1334,27.123,2015,ROST
2016-12-30,ROST UW Equity,0.795,23.1802,21.9611,7.4678,21.244,2016,ROST
