Date,Asset,Average Dividend Yield,Price Earnings Ratio (P/E),Return on Assets,Total Debt to Total Assets,1-Year Volatility,Year,Ticker
2017-12-29,CSCO UW Equity,2.8486,18.4677,7.6423,25.9725,16.011,2017,CSCO
2018-12-31,CSCO UW Equity,2.4954,19.6204,0.0922,23.5044,26.566,2018,CSCO
2019-12-31,CSCO UW Equity,2.4717,17.4761,11.251,25.2227,25.743,2019,CSCO
2020-12-31,CSCO UW Equity,3.1802,16.1167,11.6421,16.4307,42.092,2020,CSCO
2016-12-30,CSX UW Equity,2.5311,19.9617,4.886,31.8885,26.084,2016,CSX
2017-12-29,CSX UW Equity,1.4377,24.0667,15.3781,33.0423,32.026,2017,CSX
2018-12-31,CSX UW Equity,1.2216,16.7243,9.1323,40.1781,26.919,2018,CSX
2019-12-31,CSX UW Equity,1.2293,18.0744,8.8843,43.8822,23.305,2019,CSX
2020-12-31,CSX UW Equity,1.3177,25.463,7.0852,43.2362,46.343,2020,CSX
2015-12-31,CTAS UW Equity,1.9887,50.7919,16.7289,31.5804,17.961,2015,CTAS
2016-12-30,CTAS UW Equity,1.0657,24.8635,8.7858,45.7846,19.892,2016,CTAS
2017-12-29,CTAS UW Equity,1.0175,26.234,12.2094,36.4362,17.828,2017,CTAS
2018-12-31,CTAS UW Equity,0.8937,22.1039,12.2958,38.3206,23.914,2018,CTAS
2019-12-31,CTAS UW Equity,0.8917,33.1788,11.5981,35.2734,22.224,2019,CTAS
2020-12-31,CTAS UW Equity,0.924,43.5832,11.5981,35.2734,52.707,2020,CTAS
2015-12-31,CTSH UW Equity,0.0,21.6833,13.2355,9.8231,26.128,2015,CTSH
2016-12-30,CTSH UW Equity,0.0,18.1916,11.3677,6.1562,31.267,2016,CTSH
2017-12-29,CTSH UW Equity,0.0025,18.9574,10.2025,5.7355,16.086,2017,CTSH
2018-12-31,CTSH UW Equity,0.5944,16.8621,13.5256,4.7015,23.308,2018,CTSH
2019-12-31,CTSH UW Equity,1.2352,16.4633,11.4945,10.5591,24.792,2019,CTSH
2020-12-31,CTSH UW Equity,1.2872,27.755,8.404,10.5182,48.467,2020,CTSH
2015-12-31,DLTR UW Equity,0.0,29.0709,2.9123,46.2003,27.423,2015,DLTR
2016-12-30,DLTR UW Equity,0.0,20.418,5.6716,40.2621,28.99,2016,DLTR
2017-12-29,DLTR UW Equity,0.0,22.3289,10.7029,34.7644,22.829,2017,DLTR
2018-12-31,DLTR UW Equity,0.0,16.5165,-10.6643,31.592,37.129,2018,DLTR
2019-12-31,DLTR UW Equity,0.0,19.7585,5.0006,51.245,29.654,2019,DLTR
2020-12-31,DLTR UW Equity,0.0,19.1221,6.6644,46.5786,47.866,2020,DLTR
2019-12-31,DXCM UW Equity,0.0,170.0472,4.6903,48.4635,47.205,2019,DXCM
2020-12-31,DXCM UW Equity,0.0,157.8339,14.7663,43.0789,55.836,2020,DXCM
2015-12-31,EA UW Equity,0.0,30.3116,17.5191,16.3121,30.81,2015,EA
2016-12-30,EA UW Equity,0.0,24.7561,13.0959,12.8272,29.554,2016,EA
2017-12-29,EA UW Equity,0.0,31.2293,12.796,11.5564,23.886,2017,EA
2018-12-31,EA UW Equity,0.0,22.9667,11.6185,11.0975,32.108,2018,EA
2019-12-31,EA UW Equity,0.0,10.3331,30.2855,10.9791,37.378,2019,EA
2020-12-31,EA UW Equity,0.0,13.8018,30.2855,10.9791,36.504,2020,EA
2015-12-31,EBAY UW Equity,0.0,17.578,5.486,38.0118,26.423,2015,EBAY
2016-12-30,EBAY UW Equity,0.0,18.1257,34.931,37.5729,30.962,2016,EBAY
2017-12-29,EBAY UW Equity,0.0,30.4065,-4.0816,38.54,19.083,2017,EBAY
2018-12-31,EBAY UW Equity,0.0,15.6768,10.3678,40.4093,31.305,2018,EBAY
2019-12-31,EBAY UW Equity,0.0062,18.2707,8.7137,46.0658,24.602,2019,EBAY
2020-12-31,EBAY UW Equity,1.2706,15.521,30.2369,43.0606,38.321,2020,EBAY
2020-12-31,EXC UW Equity,3.6709,13.8475,1.5439,31.4228,48.973,2020,EXC
2015-12-31,FAST UW Equity,2.4646,22.8756,21.1123,14.4129,23.676,2015,FAST
2016-12-30,FAST UW Equity,2.5864,26.9364,19.2027,14.6128,24.954,2016,FAST
2017-12-29,FAST UW Equity,2.5959,28.2052,20.7406,14.2587,23.307,2017,FAST
2018-12-31,FAST UW Equity,2.3789,20.0213,24.1303,15.0534,27.925,2018,FAST
